Year,UN World Population Estimate (Billion),Normalized UN Population Estimate,Global Real GDP,Global Foreign Direct Investment (Trillion US Dollar),FDI Density of Link,Global Primary Energy Use (Exajoule),Global Fertilizer Consumption (Million Ton),Global Accumulative Large Dams (Thousand),Global Water Use (Thousand km3),Global Paper Production (Million Ton),Global Transportation (Million Vehicles),Global Telecommunications (Billion Landlines & Subscriptions),International Tourism (Million Arrivals),Global Carbon Dioxide Concentration (ppm),Nitrous Oxide (ppb),Methane (ppb),Ozone % Loss,Temperature Anomaly (Degree Celcius),Mean H+ Concentration (nmol kg-1),Marine Fish Capture (Million Ton),Shrimp Aquaculture (Million Ton),Tropical Forest % Loss,% Domesticated Land,Global CO2 emissions (kt),Global Methane emissions (kt of CO2 equivalent),Global Nitrous oxide emissions (thousand metric tons of CO2 equivalent),USPTO Patent Grants,Web of Science Publications,FAO Trade Flows (bilateral links)
1950,2.525149,1.000000,5.536425839,0.000205756,,112.3,14.518,5.76,1.226581493,,,0.000713,25.3,311.24,288.22,1117.27,,-0.05,6.9695,14,0.001325,16.17,0.31,,,,,80416,
1951,2.572850917,1.018890734,5.875230553,0.000304704,,116.3,15.142,5.924,1.328106362,,,0.000644611,,311.48,288.41,1124.79,,-0.055,6.9711,16,0.001585,16.44,0.32,,,,,85026,
1952,2.619292068,1.037282183,6.136942695,0.000379584,,118.8,16.438,6.167,1.379031418,,,0.002231856,,311.79,288.65,1133.24,,-0.059,6.9791,18,0.002855,16.83,0.32,,,,,89153,
1953,2.665865392,1.055725976,6.446109404,0.000466756,,121.8,19.277,6.428,1.373804788,,,0.002492889,,312.19,288.96,1142.61,,-0.062,6.9791,18,0.001312,17.12,0.32,,,,,91364,
1954,2.713172027,1.074460171,6.680806315,0.000445721,,123.8,20.713,6.706,1.372677662,,,0.002744876,,312.75,289.33,1152.87,,-0.064,6.9888,19,0.001629,17.34,0.33,,,,,96051,
1955,2.761650981,1.093658624,7.122643484,0.000463865,,129.7,21.837,7.025,1.424773253,,,0.003614708,,313.46,289.75,1164.12,,-0.063,7,20,0.002173,17.60,0.33,,,,,82978,
1956,2.811572031,1.113428170,7.440477249,0.000768138,,135.0,23.402,7.395,1.457353329,,,0.003909975,,314.13,290.19,1176.11,9.8,-0.059,6.9952,22,0.001961,17.90,0.33,,,,,113825,
1957,2.863042795,1.133811429,7.733244469,0.0005893,,141.7,24.745,7.777,1.567294694,,,0.004230503,,314.68,290.62,1187.50,4.6,-0.053,7.0065,22,0.002266,18.22,0.34,,,,,120875,
1958,2.916030167,1.154795288,7.92459136,0.000545381,,148.2,26.707,8.304,1.576923377,,,0.065929841,,315.17,291.02,1198.16,7.5,-0.045,7.0194,23,0.002793,18.50,0.34,,,,,131327,
1959,2.970395814,1.176324967,8.336840249,0.000654451,,153.5,28.396,8.786,1.638316188,,,0.070282607,,315.66,291.37,1208.98,15.1,-0.039,7.0275,25,0.002751,18.76,0.34,,,,,135341,
